qn1d,qn1f,qn1c,qn1h,qn2b,qn4b,qn4c,qn4e,qn1jyear,ui_lpr,ui_work
25,1,1,18,5,2,1,1,2016,1,1
29,1,4,6,5,2,2,1,2018,1,1
26,2,4,6,1,3,1,1,2017,2,1
47,1,1,10,2,3,1,1,2015,1,1
41,2,1,10,2,3,1,1,2015,1,3
39,2,1,97,1,3,1,2,2015,2,3
42,1,1,97,1,3,2,1,2015,2,1
47,2,3,6,6,2,2,1,2015,1,1
17,1,4,97,2,1,2,6,2015,1,3
43,1,3,1,5,2,2,1,2016,1,1
34,2,7,22,5,2,1,1,2014,2,1
36,2,1,22,6,1,2,2,2014,2,3
45,1,1,6,5,2,2,1,2017,1,1
29,2,1,10,2,1,1,1,2015,1,3
31,1,1,10,2,3,1,1,2015,1,1
60,1,1,97,1,4,1,2,2018,1,3
40,1,1,18,1,3,1,2,2017,1,1
57,1,1,3,5,2,1,2,2016,1,1
63,2,1,3,5,2,1,2,2018,1,3
60,2,2,5,6,3,2,1,2014,1,2
25,1,4,97,2,1,2,2,2018,1,1
64,1,7,26,1,4,1,1,2017,1,3
20,2,4,26,5,2,2,2,2017,1,2
45,2,2,26,4,3,2,1,2017,1,1
66,2,7,26,1,4,1,1,2017,1,3
32,1,1,97,5,3,2,2,2018,1,1
35,2,1,97,2,3,2,2,2016,1,1
35,1,4,6,2,2,1,1,2014,1,1
57,1,1,97,5,3,1,1,2015,1,1
52,2,1,97,4,3,1,2,2015,1,1
27,2,4,97,4,2,2,1,2015,1,1
62,2,1,97,4,4,1,1,2015,1,3
61,1,1,97,5,3,2,1,2015,1,1
29,2,1,9,6,1,2,1,2014,1,1
30,1,1,9,5,2,2,1,2016,2,1
34,2,1,22,4,3,2,2,2018,1,3
34,1,1,22,4,3,2,1,2018,1,1
40,2,5,6,1,4,1,1,2017,1,1
31,2,1,97,2,3,1,1,2015,1,2
43,1,1,97,2,3,1,1,2015,1,1
33,1,1,97,3,2,1,2,2018,2,1
46,2,1,3,2,4,1,1,2017,1,2
47,1,1,3,5,3,1,1,2017,1,1
23,2,4,26,5,1,2,2,2016,2,1
33,2,1,22,7,2,2,2,2017,1,1
64,2,3,22,5,3,1,1,2017,1,3
38,1,1,22,7,2,2,2,2017,1,2
42,2,1,24,6,2,2,1,2014,1,1
23,2,4,24,5,1,2,1,2014,1,1
37,1,2,18,1,3,1,1,2016,1,1
16,2,7,18,1,1,1,2,2016,1,3
